hand,players,won,played,prob
K2o,2,69094,123055,0.5614887651862988
Q6o,2,69117,123713,0.558688254265922
J7s,2,23052,41347,0.5575253343652502
T8s,2,22729,40974,0.5547176258114902
J8o,2,68454,123503,0.5542699367626698
Q3s,2,22796,41237,0.5528045202124305
Q2s,2,22624,41437,0.5459854719212298
T9o,2,67224,123138,0.545924085172733
Q5o,2,67527,123900,0.5450121065375303
J6s,2,22512,41311,0.5449396044637022
Q4o,2,66457,123879,0.5364670363822762
66o,2,32906,61644,0.5338070209590552
J7o,2,65923,123700,0.5329264349232012
T7s,2,21785,40920,0.5323802541544477
J5s,2,21795,40982,0.5318188472988141
T8o,2,65108,123298,0.528053983032977
98s,2,21801,41328,0.5275116144018583
Q3o,2,64937,123755,0.5247222334451134
Q2o,2,64035,123841,0.5170743130304181
J4s,2,21289,41192,0.516823655078656
J6o,2,63866,123675,0.5164018597129574
J3s,2,21266,41230,0.5157894736842106
T6s,2,20997,41070,0.5112490869247626
T7o,2,62708,123289,0.5086260736967613
97s,2,20806,41127,0.5058963697814088
J5o,2,62672,123886,0.5058844421484268
98o,2,61980,123465,0.5020046166929899
J2s,2,20478,41170,0.4974010201603109
J4o,2,61074,123142,0.49596400903022525
T5s,2,20442,41288,0.49510753729897305
T6o,2,60046,122977,0.4882701643396733
96s,2,20104,41202,0.48793747876316684
55o,2,30024,61672,0.4868335711506032
T4s,2,19801,40779,0.4855685524412075
87s,2,19929,41101,0.48487871341329897
J3o,2,59448,122972,0.48342712162118207
97o,2,59573,123323,0.4830647973208566
J2o,2,58781,123580,0.4756513999028969
T3s,2,19371,41360,0.46835106382978725
95s,2,19146,41013,0.4668275912515544
T5o,2,57531,123578,0.46554402887245305
86s,2,19035,41120,0.46291342412451364
T2s,2,18879,41059,0.4598017487030858
87o,2,56653,123935,0.4571186509057167
96o,2,56506,123680,0.456872574385511
T4o,2,56500,123889,0.45605340264268823
44o,2,27587,61706,0.44707159757560044
94s,2,18234,40967,0.4450899504479215
T3o,2,54973,123654,0.44457114205767706
76s,2,18202,40991,0.44404869361567173
85s,2,18105,41188,0.4395697776051277
95o,2,54174,123511,0.4386168033616439
93s,2,17922,40922,0.4379551341576658
T2o,2,53503,123024,0.4348988815190532
86o,2,53377,123006,0.4339381818773068
92s,2,17603,41026,0.4290693706430069
75s,2,17430,40803,0.4271744724652599
84s,2,17615,41418,0.42529817953546767
76o,2,51327,123238,0.4164867979032441
85o,2,51357,123544,0.41569805089684647
94o,2,50943,123244,0.4133507513550355
65s,2,16878,41034,0.4113174440707706
74s,2,16729,41165,0.4063889226284465
93o,2,50041,123797,0.4042181959175101
33o,2,24744,61567,0.40190361719752465
83s,2,16479,41073,0.40121247534876925
82s,2,16425,41274,0.3979502834714348
92o,2,48549,122749,0.39551442374275964
75o,2,48666,123746,0.3932733179254279
84o,2,48556,124095,0.39128087352431606
64s,2,15997,41294,0.3873928415750472
73s,2,15777,41210,0.38284396991021596
65o,2,46671,122724,0.38029236335191163
74o,2,45752,123126,0.37158682975163654
83o,2,45752,123281,0.3711196372514824
22o,2,22818,61547,0.37074105967796966
63s,2,15226,41078,0.3706606942889138
54s,2,15083,41352,0.3647465660669375
72s,2,14941,41042,0.364041713366795
82o,2,44623,124027,0.35978456303869316
64o,2,44405,123531,0.3594644259335713
62s,2,14474,41284,0.35059587249297547
73o,2,43342,124354,0.3485372404586905
53s,2,14323,41371,0.34620869691329675
63o,2,41749,123266,0.33869031200817745
54o,2,41455,123468,0.3357550134447792
72o,2,40409,123217,0.32794987704618683
43s,2,13413,41175,0.3257559198542805
52s,2,13419,41227,0.3254905765639023
62o,2,38969,123533,0.3154541701407721
53o,2,38446,123250,0.3119350912778905
42s,2,12408,41187,0.30126010634423483
52o,2,35734,123048,0.2904069956439763
32s,2,11884,41056,0.28945830085736557
43o,2,35734,123724,0.2888202773916136
42o,2,32783,123370,0.26572910756261653
32o,2,31176,123733,0.2519618856731834
AAo,3,20270,25443,0.7966827811185788
KKo,3,18830,25586,0.7359493472993043
QQo,3,17151,25431,0.6744131178482954
JJo,3,15820,25738,0.6146553733778849
AKs,3,10223,17165,0.5955723856685116
AQs,3,9905,17073,0.5801558015580156
AKo,3,29642,51355,0.5771979359361309
AJs,3,9662,17141,0.5636777317542734
TTo,3,14188,25332,0.5600821095847149
AQo,3,28676,51352,0.5584203146907618
ATs,3,9513,17170,0.5540477577169481
AJo,3,27965,51184,0.5463621444201313
KQs,3,9317,17130,0.5438995913601868
A9s,3,9265,17236,0.537537711766071
ATo,3,27290,51175,0.5332681973619932
KJs,3,8950,16915,0.5291161690806976
KQo,3,26684,51279,0.5203689619532362
A8s,3,8721,16870,0.5169531713100178
A7s,3,8683,16936,0.5126948512045347
KTs,3,8697,17102,0.5085370132148287
A9o,3,25913,51133,0.506776445739542
KJo,3,25999,51327,0.5065365207395718
99o,3,12840,25699,0.49963033581073196
A6s,3,8511,17055,0.4990325417766051
A8o,3,25507,51357,0.496660630488541
QJs,3,8427,17045,0.49439718392490467
K9s,3,8398,17157,0.4894795127353267
A5s,3,8348,17140,0.4870478413068845
KTo,3,24966,51438,0.4853610171468564
A7o,3,24725,51375,0.48126520681265206
QTs,3,8251,17205,0.47956989247311826
A4s,3,8081,16903,0.47808081405667635
A3s,3,8096,17128,0.47267631947687994
QJo,3,24351,51519,0.4726605718278693
A6o,3,24029,51058,0.4706216459712484
K7s,3,7998,17197,0.46508111879979064
K9o,3,23834,51251,0.4650445844959123
K8s,3,7921,17097,0.4632976545592794
A5o,3,23536,51397,0.4579255598575792
A2s,3,7896,17267,0.45728846933456885
Q9s,3,7796,17086,0.45627999531780405
JTs,3,7759,17055,0.4549399003224861
QTo,3,23081,50860,0.4538143924498624
A4o,3,23242,51631,0.4501559140826248
K6s,3,7637,17184,0.4444250465549348
A3o,3,22349,51196,0.43653801078209237
K8o,3,22181,50840,0.43629032258064515
88o,3,11092,25444,0.4359377456374784
A2o,3,22228,51290,0.4333788262819263
K5s,3,7298,16949,0.43058587527287745
J9s,3,7287,16967,0.4294807567631284
JTo,3,21838,51202,0.42650677707902035
Q8s,3,7280,17131,0.42496059774677486
Q9o,3,21686,51203,0.4235298712966037
K7o,3,21539,50861,0.4234875444839858
K4s,3,7312,17347,0.4215138064218597
K3s,3,7188,17324,0.41491572385130454
K6o,3,21062,50993,0.4130370835212676
K2s,3,7074,17181,0.41173389209009953
Q7s,3,6990,17145,0.40769903762029747
K5o,3,20448,50953,0.4013110121091987
Q8o,3,20373,51202,0.3978946134916605
J8s,3,6755,17013,0.39704931522953035
T9s,3,6763,17042,0.3968430935336228
K4o,3,20280,51257,0.3956532766256316
Q6s,3,6666,16853,0.39553788642971577
J9o,3,20354,51489,0.3953077356328536
77o,3,10046,25631,0.39194725137528774
J7s,3,6610,17182,0.38470492375742055
K3o,3,19667,51155,0.3844589971654775
Q5s,3,6595,17292,0.38139023826046725
T9o,3,19383,51305,0.3777994347529481
T8s,3,6370,16861,0.37779491133384735
Q7o,3,19186,50881,0.3770759222499558
K2o,3,19032,51277,0.37116055931509256
J8o,3,18896,51003,0.37048801050918573
Q4s,3,6344,17129,0.37036604588709204
Q6o,3,18934,51446,0.3680363876686234
Q3s,3,6243,17043,0.36630874845977823
J6s,3,6207,17030,0.36447445684086904
98s,3,6136,17085,0.3591454492244659
66o,3,9292,25887,0.3589446440298219
T7s,3,6202,17280,0.35891203703703706
Q2s,3,6026,16949,0.35553719983479853
Q5o,3,18285,51443,0.355441945454192
T8o,3,17851,51309,0.3479116724161453
J7o,3,17558,50820,0.3454939000393546
Q4o,3,17791,51544,0.3451614154896787
J5s,3,5864,17122,0.34248335474827707
J4s,3,5784,17138,0.33749562376006537
97s,3,5693,16905,0.3367642709257616
T6s,3,5644,16966,0.33266533066132264
J3s,3,5696,17135,0.33241902538663554
Q3o,3,17029,51286,0.33203993292516476
98o,3,16803,51061,0.3290769863496602
J6o,3,16666,51144,0.3258642264977319
T7o,3,16521,50732,0.32565244815895295
Q2o,3,16523,50998,0.32399309776853996
55o,3,8249,25645,0.32166114252290895
87s,3,5443,17049,0.3192562613643029
J2s,3,5484,17188,0.3190598091691878
96s,3,5441,17131,0.31761134784892886
J5o,3,16012,51024,0.31381310755722797
T5s,3,5263,16828,0.3127525552650345
T4s,3,5324,17240,0.3088167053364269
97o,3,15511,51002,0.3041253284184934
J4o,3,15400,51216,0.3006872852233677
86s,3,5137,17122,0.3000233617568041
T6o,3,15212,50851,0.2991484926550117
J3o,3,15085,51137,0.2949918845454368
95s,3,4980,16953,0.2937533179968147
87o,3,15061,51335,0.29338657835784554
76s,3,4919,16776,0.29321649976156416
44o,3,7444,25807,0.2884488704615027
T3s,3,5006,17423,0.28732135682718246
85s,3,4882,17037,0.2865527968539062
T2s,3,4893,17088,0.28634129213483145
J2o,3,14403,50948,0.28270000785114235
96o,3,14196,50643,0.280315147206919
65s,3,4776,17066,0.27985468182350876
T5o,3,14278,51140,0.2791943684004693
94s,3,4670,17227,0.2710860857955535
93s,3,4614,17051,0.270599964811448
86o,3,13846,51258,0.27012368800967657
T4o,3,13577,51016,0.2661321938215462
33o,3,6707,25262,0.2654975853059932
75s,3,4458,16817,0.2650888981387881
84s,3,4444,17057,0.2605381954622736
95o,3,13241,51283,0.2581947233976171
76o,3,13169,51222,0.2570965600718441
T3o,3,13170,51257,0.2569405154417933
92s,3,4299,16905,0.25430346051464064
74s,3,4342,17258,0.2515934639007996
T2o,3,12774,51019,0.25037731041376743
64s,3,4314,17256,0.25
85o,3,12435,50827,0.24465343223090089
83s,3,4126,16954,0.2433643977822343
54s,3,4081,16997,0.2401011943284109
22o,3,6141,25729,0.23868008861595866
75o,3,12173,51055,0.23842914503966312
94o,3,12111,50937,0.2377642970728547
65o,3,11997,51213,0.23425692695214106
82s,3,3982,17023,0.23391881571990836
63s,3,3924,16909,0.232065763794429
73s,3,3946,17139,0.23023513623898711
93o,3,11715,51610,0.22699089323774463
84o,3,11475,51137,0.22439720750141776
92o,3,11190,51178,0.21864863808667787
74o,3,11088,51459,0.21547251209700927
53s,3,3675,17094,0.214987714987715
62s,3,3710,17392,0.21331646734130635
72s,3,3634,17109,0.21240282892045123
64o,3,10810,51366,0.21045049254370596
43s,3,3565,17123,0.2081994977515622
54o,3,10193,50844,0.20047596569900086
83o,3,10254,51214,0.20021869020189792
52s,3,3343,16966,0.1970411411057409
82o,3,10066,51222,0.19651712154933426
73o,3,9950,51319,0.19388530563728834
63o,3,9747,50727,0.19214619433437813
42s,3,3235,17105,0.1891259865536393
53o,3,9042,51438,0.17578443951942144
72o,3,8773,51306,0.17099364596733327
32s,3,2916,17066,0.17086604945505685
62o,3,8683,51180,0.16965611567018365
43o,3,8388,51069,0.16424836985255242
52o,3,7987,50987,0.15664777296173535
42o,3,7374,50866,0.1449691345889199
32o,3,6709,51365,0.13061423148058016
AAo,4,22166,30872,0.7179968903861104
KKo,4,19582,30344,0.6453335090957026
QQo,4,17257,30459,0.5665648905085525
AKs,4,10436,20389,0.511844622100152
JJo,4,15385,30740,0.5004879635653872
